prefix,operation,sourceFlag,path,configName,async
http,listener,true,path,config-ref,true
http,request,false,path,config-ref,false
apikit,*,false,api,config-ref,false
vm,listener,true,queueName,config-ref,true
vm,publish,false,queueName,config-ref,false
db,listener,true,table,config-ref,false
db,*,false,,config-ref,false
sftp,listener,true,directory,config-ref,false
sftp,*,false,,config-ref,false
ftp,listener,true,directory,config-ref,false
ftp,*,false,,config-ref,false
file,listener,true,directory,config-ref,false
file,*,false,,config-ref,false
workday,new-objects-trigger,true,directory,config-ref,false
workday,*,false,,config-ref,false
s3,deleted-object-trigger,true,bucketName,config-ref,false
s3,new-object-trigger,true,bucketName,config-ref,false
s3,*,false,bucketName,config-ref,false
dynamodb,*,false,,config-ref,false
sns,*,false,,config-ref,false
sqs,receivemessages,true,queueUrl,config-ref,false
sqs,*,false,queueUrl,config-ref,false
amqp,listener,true,queueName,config-ref,false
amqp,*,false,queueName,config-ref,false
anypoint-mq,subscriber,true,destination,config-ref,false
as2-mule4,as2-listener,true,path,config-ref,false
as2-mule4,*,false,,config-ref,false
salesforce,deleted-object-listener,true,,config-ref,false
salesforce,modified-object-listener,true,,config-ref,false
salesforce,new-object-listener,true,,config-ref,false
salesforce,replay-channel-listener,true,,config-ref,false
salesforce,replay-topic-listener,true,,config-ref,false
salesforce,subscribe-channel-listener,true,,config-ref,false
salesforce,subscribe-topic-listener,true,,config-ref,false
